DSAA
 221 221
-0.10393494E+02  0.10393494E+02  0.94486307E-01
-0.10393494E+02  0.10393494E+02  0.94486307E-01
 0.00000000E+00  0.00000000E+00
 0.38160817E-07  0.29951997E-07  0.23399519E-07  0.18195235E-07  0.14082406E-07  0.10848286E-07  0.83177937E-08  0.63476903E-08
 0.48214961E-08  0.36450664E-08  0.27427276E-08  0.20540595E-08  0.15310694E-08  0.11358652E-08  0.83870139E-09  0.61636122E-09
 0.45082650E-09  0.32819250E-09  0.23778909E-09  0.17147401E-09  0.12306851E-09  0.87909748E-10  0.62498248E-10  0.44222032E-10
 0.31142178E-10  0.21827207E-10  0.15225858E-10  0.10570800E-10  0.73041781E-11  0.50231014E-11  0.34380273E-11  0.23419800E-11
 0.15877910E-11  0.10713701E-11  0.71948476E-12  0.48093951E-12  0.31991867E-12
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.52961907E-14  0.83613898E-14  0.13137984E-13  0.20545382E-13  0.31976787E-13
 0.49532514E-13  0.76362609E-13  0.11716715E-12  0.17892276E-12  0.27193171E-12  0.41132830E-12  0.61922964E-12  0.92783378E-12
 0.13835781E-11  0.20533909E-11  0.30330117E-11  0.44587289E-11  0.65235301E-11  0.94992428E-11  0.13766710E-10  0.19856665E-10
 0.28505078E-10  0.40725815E-10  0.57909940E-10  0.81954452E-10  0.11543259E-09  0.16181589E-09  0.22576218E-09  0.31348660E-09
 0.43323656E-09  0.59589555E-09  0.81574564E-09  0.11114238E-08  0.15071123E-08  0.20340122E-08  0.27321488E-08  0.36525740E-08
 0.48600209E-08  0.64361143E-08  0.84831414E-08  0.11128544E-07  0.14530153E-07  0.18882247E-07  0.24422568E-07  0.31440073E-07
 0.40284023E-07  0.51373745E-07  0.65209501E-07  0.82384238E-07  0.10359608E-06  0.12966150E-06  0.16152885E-06  0.20029188E-06
 0.24720307E-06  0.30368608E-06  0.37134691E-06  0.45198316E-06  0.54759062E-06  0.66036648E-06  0.79270849E-06  0.94720905E-06
 0.11266437E-05  0.13339533E-05  0.15722184E-05  0.18446274E-05  0.21544350E-05  0.25049137E-05  0.28992968E-05  0.33407134E-05
 0.38321167E-05  0.43762056E-05  0.49753419E-05  0.56314638E-05  0.63459978E-05  0.71197717E-05  0.79529305E-05  0.88448577E-05
 0.97941051E-05  0.10798333E-04  0.11854264E-04  0.12957654E-04  0.14103277E-04  0.15284933E-04  0.16495477E-04  0.17726867E-04
 0.18970236E-04  0.20215983E-04  0.21453888E-04  0.22673242E-04  0.23862997E-04  0.25011926E-04  0.26108799E-04  0.27142558E-04
 0.28102503E-04  0.28978472E-04  0.29761014E-04  0.30441560E-04  0.31012570E-04  0.31467674E-04  0.31801779E-04  0.32011168E-04
 0.32093558E-04  0.32048147E-04  0.31875617E-04  0.31578121E-04  0.31159240E-04  0.30623908E-04  0.29978323E-04  0.29229824E-04
 0.28386763E-04  0.27458349E-04  0.26454488E-04  0.25385615E-04  0.24262516E-04  0.23096157E-04  0.21897511E-04  0.20677395E-04
 0.19446321E-04  0.18214347E-04  0.16990960E-04  0.15784965E-04  0.14604398E-04  0.13456452E-04  0.12347433E-04  0.11282729E-04
 0.10266794E-04  0.93031616E-05  0.83944628E-05  0.75424679E-05  0.67481354E-05  0.60116734E-05  0.53326098E-05  0.47098675E-05
 0.41418438E-05  0.36264920E-05  0.31614014E-05  0.27438767E-05  0.23710125E-05  0.20397637E-05  0.17470098E-05  0.14896120E-05
